American Names Report 
 **************************************** 
 28 kids names beginning with A 
Aaliyah Harris    
Abigail Ruiz      
Addison Hall      
Adeline Brooks    
Alice Rodriguez   
Allison Bennet    
Amelia Johnson    
Anna Hughes       
Aria Hughes       
Ariana Phillips   
Arya Lopez        
Aubrey Taylor     
Audrey Peterson   
Aurora Chavez     
Autumn Williams   
Ava Ramos         
Avery Myers       
Aaron King        
Adam Murphy       
Adrian King       
Aiden Lee         
Alexander Ward    
Andrew Reed       
Angel Ramirez     
Anthony Edwards   
Asher Adams       
Austin Rodriguez  
Axel Johnson      
